Detector,Descriptor,ID,Lidar_TopView_Xmin,Lidar_BBox_Xmin,Lidar_TopView_DeltaV,Lidar_BBox_DeltaV,TTC_Lidar_TopView,TTC_Lidar_BBox,TTC_Camera,TTC_Diff1[%],TTC_Diff2[%]
SHITOMASI,BRIEF,00,  7.94,  8.01,  0.62,  0.64, 12.82, 12.52, 15.25,  2.40, 21.84
SHITOMASI,BRIEF,01,  7.88,  7.95,  0.62,  0.63, 12.72, 12.61, 16.14,  0.81, 27.93
SHITOMASI,BRIEF,02,  7.80,  7.89,  0.84,  0.56,  9.30, 14.09, 14.56, 33.99,  3.34
SHITOMASI,BRIEF,03,  7.77,  7.84,  0.31,  0.47, 25.29, 16.69, 14.55, 51.51, 12.84
SHITOMASI,BRIEF,04,  7.67,  7.79,  0.98,  0.49,  7.80, 15.75, 14.80, 50.48,  6.02
SHITOMASI,BRIEF,05,  7.61,  7.73,  0.59,  0.60, 12.84, 12.78, 14.74,  0.47, 15.33
SHITOMASI,BRIEF,06,  7.57,  7.67,  0.42,  0.64, 18.22, 11.98, 16.32, 52.07, 36.16
SHITOMASI,BRIEF,07,  7.49,  7.61,  0.73,  0.58, 10.28, 13.12, 18.30, 21.64, 39.41
SHITOMASI,BRIEF,08,  7.48,  7.55,  0.18,  0.58, 41.21, 13.02, 14.86,216.42, 14.09
SHITOMASI,BRIEF,09,  7.45,  7.49,  0.27,  0.67, 28.10, 11.17, 22.11,151.50, 97.89
SHITOMASI,BRIEF,10,  7.31,  7.43,  1.35,  0.58,  5.40, 12.81, 22.85, 57.83, 78.37
SHITOMASI,BRIEF,11,  7.31,  7.35,  0.03,  0.82,100.00,  8.96, 24.31,1016.10,171.27
SHITOMASI,BRIEF,12,  7.21,  7.27,  1.05,  0.73,  6.84,  9.96, 27.54, 31.31,176.43
SHITOMASI,BRIEF,13,  7.16,  7.20,  0.46,  0.75, 15.60,  9.60, 23.88, 62.48,148.82
SHITOMASI,BRIEF,14,  7.08,  7.12,  0.77,  0.83,  9.20,  8.52, 27.13,  8.01,218.40
SHITOMASI,BRIEF,15,  6.94,  7.04,  1.47,  0.74,  4.72,  9.52, 26.11, 50.36,174.36
SHITOMASI,BRIEF,16,  6.93,  6.97,  0.06,  0.72,100.00,  9.61, 26.61,940.32,176.87
SHITOMASI,BRIEF,17,  6.85,  6.89,  0.80,  0.82,  8.58,  8.40, 25.44,  2.18,202.89
SHITOMASI,BRIEF,18,  6.76,  6.81,  0.87,  0.77,  7.77,  8.84, 22.49, 12.14,154.32
SHITOMASI,BRIEF,19,  6.62,  6.72,  1.39,  0.88,  4.76,  7.64, 25.60, 37.62,235.09
SHITOMASI,BRIEF,20,  6.51,  6.62,  1.18,  0.98,  5.53,  6.76, 21.68, 18.26,220.75
SHITOMASI,BRIEF,21,  6.44,  6.55,  0.64,  0.78, 10.00,  8.39, 32.61, 19.19,288.60
SHITOMASI,BRIEF,22,  6.39,  6.47,  0.51,  0.81, 12.60,  7.98, 24.14, 57.89,202.49
SHITOMASI,BRIEF,23,  6.28,  6.38,  1.14,  0.85,  5.49,  7.51, 26.01, 26.80,246.56
SHITOMASI,BRIEF,24,  6.19,  6.29,  0.88,  0.91,  7.07,  6.91, 23.00,  2.32,232.87
SHITOMASI,BRIEF,25,  6.10,  6.20,  0.93,  0.89,  6.59,  6.97, 28.84,  5.44,313.99
SHITOMASI,BRIEF,26,  6.54,  6.11,  4.47,  0.89,  1.46,  6.83, 20.05, 78.58,193.67
SHITOMASI,BRIEF,27,  6.01,  6.04,  5.33,  0.73,  1.13,  8.27, 22.76, 86.38,175.21
SHITOMASI,BRIEF,28,  5.95,  5.95,  0.58,  0.86, 10.18,  6.96, 26.90, 46.24,286.46
SHITOMASI,BRIEF,29,  5.95,  5.90,  0.06,  0.56, 99.38, 10.53, 26.75,843.89,154.08
SHITOMASI,BRIEF,30,  5.83,  5.84,  1.19,  0.59,  4.89,  9.89, 20.48, 50.61,107.04
SHITOMASI,BRIEF,31,  5.78,  5.78,  0.50,  0.62, 11.44,  9.31, 31.25, 22.85,235.54
SHITOMASI,BRIEF,32,  5.77,  5.69,  0.04,  0.81,100.00,  7.07, 33.37,1313.65,371.80
SHITOMASI,BRIEF,33,  5.67,  5.64,  1.03,  0.52,  5.52, 10.85, 31.66, 49.11,191.74
SHITOMASI,BRIEF,34,  5.66,  5.57,  0.14,  0.71, 40.56,  7.90, 26.02,413.22,229.24
SHITOMASI,BRIEF,35,  5.61,  5.52,  0.44,  0.55, 12.70, 10.03, 27.83, 26.64,177.42
SHITOMASI,BRIEF,36,  5.53,  5.44,  0.80,  0.81,  6.90,  6.71, 25.98,  2.79,287.09
SHITOMASI,BRIEF,37,  5.49,  5.35,  0.42,  0.87, 13.06,  6.15, 20.56,112.47,234.35
SHITOMASI,BRIEF,38,  5.51,  5.27,  0.17,  0.76, 32.37,  6.94, 18.30,366.51,163.83
SHITOMASI,BRIEF,39,  5.29,  5.18,  2.19,  0.89,  2.41,  5.82, 20.38, 58.63,249.93
SHITOMASI,BRIEF,40,  5.32,  5.10,  0.34,  0.86, 15.72,  5.93, 22.45,165.20,278.75
SHITOMASI,BRIEF,41,  5.17,  5.02,  1.49,  0.80,  3.48,  6.27, 22.01, 44.53,250.89
SHITOMASI,BRIEF,42,  5.20,  4.94,  0.30,  0.76, 17.12,  6.55, 26.25,161.54,301.02
SHITOMASI,BRIEF,43,  5.10,  4.86,  1.02,  0.86,  5.00,  5.68, 24.28, 11.93,327.38
SHITOMASI,BRIEF,44,  4.95,  4.79,  1.51,  0.68,  3.29,  7.04, 28.07, 53.35,298.62
SHITOMASI,BRIEF,45,  4.91,  4.73,  0.39,  0.58, 12.68,  8.16, 29.81, 55.49,265.52
SHITOMASI,BRIEF,46,  4.82,  4.67,  0.92,  0.57,  5.23,  8.20, 27.89, 36.28,240.10
SHITOMASI,BRIEF,47,  4.76,  4.62,  0.59,  0.49,  8.07,  9.44, 36.44, 14.53,286.12
SHITOMASI,BRIEF,48,  4.76,  4.75,  0.00,  0.81,  -nan,  5.86, 36.44,   nan,521.61
SHITOMASI,BRIEF,49,  4.72,  4.60,  0.42,  0.28, 11.10, 16.42, 47.20, 32.39,187.49
SHITOMASI,BRIEF,50,  4.72,  4.72,  0.00,  0.32,  -nan, 14.98, 47.20,   nan,215.16
SHITOMASI,BRIEF,51,  4.68,  4.56,  0.34,  0.35, 13.94, 13.03, 64.28,  6.92,393.18
SHITOMASI,BRIEF,52,  4.68,  4.68,  0.00,  0.34,  -nan, 13.57, 64.28,   nan,373.57
SHITOMASI,BRIEF,53,  4.67,  4.54,  0.10,  0.24, 47.26, 18.91,10000.00,149.97,52786.05
SHITOMASI,BRIEF,54,  4.67,  4.67,  0.00,  0.17,  -nan, 27.45,10000.00,   nan,36333.69
SHITOMASI,BRIEF,55,  4.64,  4.52,  0.29,  0.19, 15.94, 23.78,10000.00, 32.99,41944.82
SHITOMASI,BRIEF,56,  4.64,  4.63,  0.00,  0.38,  -nan, 12.18,10000.00,   nan,82009.65
SHITOMASI,BRIEF,57,  4.63,  4.51,  0.10,  0.12, 46.43, 37.56,10000.00, 23.63,26525.44
SHITOMASI,BRIEF,58,  4.63,  4.63,  0.00,  0.02,  -nan,231.49,10000.00,   nan,4219.86
SHITOMASI,BRIEF,59,  4.65,  4.51,  0.14,  0.06, 33.87, 75.22,10000.00, 54.97,13195.02
SHITOMASI,BRIEF,60,  4.65,  4.63,  0.00,  0.00,  -nan,10000.00,10000.00,   nan,  0.00
SHITOMASI,BRIEF,61,  4.64,  4.51,  0.12,  0.01, 40.32,10000.00,-39.87, 99.60,100.40
SHITOMASI,BRIEF,62,  4.64,  4.63,  0.00,  0.01,  -nan,308.79,-39.87,   nan,112.91
SHITOMASI,BRIEF,63,  4.64,  4.50,  0.03,  0.13,100.00, 34.62,-74.05,188.82,313.86
SHITOMASI,BRIEF,64,  4.64,  4.63,  0.00,  0.02,  -nan,185.17,-74.05,   nan,139.99
SHITOMASI,BRIEF,65,  4.65,  4.50,  0.06,  0.00, 83.91,10000.00,10000.00, 99.16,  0.00
