Detector_Descriptor,Num_Lidar_Res,Num_Camera_Res,Num_Outlier_Lidar,Num_Outlier_Camera,TTC_Ave_Lidar,TTC_Ave_Camera,TTC_Ave_Diff,TTC_Sigma_Lidar,TTC_Sigma_Camera
HARRIS_SURF,46,46,00,00,  8.82,  7.68,-12.94,  2.40,  7.65
HARRIS_BRIEF,49,49,00,00,  9.15, 23.68,158.72,  2.68,  9.42
HARRIS_ORB,49,49,00,01,  9.15, 20.11,119.66,  2.68,  8.36
HARRIS_SIFT,49,49,00,02,  9.15, 25.78,181.64,  2.68,  7.93
HARRIS_BRISK,49,49,00,00,  9.15, 17.33, 89.32,  2.68,  6.62
HARRIS_FREAK,49,49,00,00,  9.15, 14.76, 61.22,  2.68,  7.59
SHITOMASI_SURF,47,47,00,00,  9.22,  1.47,-84.07,  2.71,  1.37
SHITOMASI_BRIEF,49,49,00,00,  9.15, 24.75,170.41,  2.68,  5.97
SHITOMASI_ORB,49,49,00,00,  9.15, 18.63,103.51,  2.68,  4.27
SHITOMASI_SIFT,49,49,00,00,  9.15, 26.53,189.82,  2.68,  7.07
SHITOMASI_BRISK,49,49,00,00,  9.15, 15.43, 68.55,  2.68,  3.25
SHITOMASI_FREAK,49,49,00,00,  9.15, 13.01, 42.15,  2.68,  2.97
ORB_SURF,49,49,00,08,  9.15, 42.79,367.50,  2.68, 14.69
ORB_BRIEF,49,49,00,04,  9.15, 40.59,343.42,  2.68, 14.89
ORB_ORB,49,49,00,04,  9.15, 34.01,271.59,  2.68, 16.80
ORB_SIFT,49,49,00,07,  9.15, 38.11,316.30,  2.68, 12.27
ORB_BRISK,49,49,00,12,  9.15, 43.00,369.73,  2.68, 15.80
ORB_FREAK,49,49,00,21,  9.15, 22.16,142.05,  2.68, 22.02
SIFT_SURF,49,49,00,00,  9.15,  8.57, -6.34,  2.68,  3.55
SIFT_BRIEF,49,49,00,00,  9.15, 26.72,191.93,  2.68,  6.49
SIFT_SIFT,49,49,00,00,  9.15, 24.23,164.71,  2.68,  7.03
SIFT_BRISK,49,49,00,00,  9.15, 20.66,125.68,  2.68,  5.02
SIFT_FREAK,49,49,00,00,  9.15, 18.63,103.49,  2.68,  6.21
AKAZE_SURF,49,49,00,00,  9.15, 16.09, 75.72,  2.68,  3.52
AKAZE_BRIEF,49,49,00,00,  9.15, 20.09,119.48,  2.68,  4.55
AKAZE_ORB,49,49,00,00,  9.15, 15.96, 74.31,  2.68,  3.28
AKAZE_SIFT,49,49,00,00,  9.15, 20.17,120.32,  2.68,  5.39
AKAZE_BRISK,49,49,00,00,  9.15, 18.24, 99.23,  2.68,  3.91
AKAZE_FREAK,49,49,00,00,  9.15, 17.26, 88.56,  2.68,  3.97
AKAZE_AKAZE,49,49,00,00,  9.15, 19.20,109.79,  2.68,  4.48
BRISK_SURF,49,49,00,00,  9.15, 21.17,131.23,  2.68,  7.21
BRISK_BRIEF,49,49,00,00,  9.15, 25.56,179.24,  2.68,  9.26
BRISK_ORB,49,49,00,00,  9.15, 12.15, 32.72,  2.68,  4.75
BRISK_SIFT,49,49,00,00,  9.15, 29.33,220.43,  2.68, 14.56
BRISK_BRISK,49,49,00,00,  9.15, 18.68,104.11,  2.68,  7.10
BRISK_FREAK,49,49,00,00,  9.15, 19.18,109.59,  2.68,  7.76
FAST_SURF,49,49,00,00,  9.15,  9.83,  7.38,  2.68,  4.57
FAST_BRIEF,49,49,00,00,  9.15, 21.18,131.43,  2.68,  5.58
FAST_ORB,49,49,00,00,  9.15, 16.31, 78.19,  2.68,  4.23
FAST_SIFT,49,49,00,00,  9.15, 23.87,160.81,  2.68,  7.64
FAST_BRISK,49,49,00,00,  9.15, 11.98, 30.82,  2.68,  3.71
FAST_FREAK,49,49,00,00,  9.15, 10.53, 15.04,  2.68,  3.84
