Detector_Descriptor,Num_Lidar_Res,Num_Camera_Res,Num_Outlier_Lidar,Num_Outlier_Camera,TTC_Ave_Lidar,TTC_Ave_Camera,TTC_Ave_Diff,TTC_Sigma_Lidar,TTC_Sigma_Camera
HARRIS_SURF,30,30,00,00, 10.30,  5.74,-44.26,  3.35,  4.30
HARRIS_BRIEF,33,33,00,00, 10.66, 20.51, 92.34,  3.43,  6.87
HARRIS_ORB,33,33,00,00, 10.66, 18.93, 77.52,  3.43,  8.64
HARRIS_SIFT,33,33,00,01, 10.66, 23.70,122.24,  3.43,  9.55
HARRIS_BRISK,33,33,00,00, 10.66, 15.37, 44.09,  3.43,  6.17
HARRIS_FREAK,33,33,00,00, 10.66, 12.92, 21.11,  3.43,  5.30
SHITOMASI_SURF,30,30,00,00, 10.79,  1.05,-90.31,  3.56,  0.29
SHITOMASI_BRIEF,33,33,00,00, 10.66, 23.13,116.94,  3.43,  6.09
SHITOMASI_ORB,33,33,00,00, 10.66, 17.69, 65.92,  3.43,  4.24
SHITOMASI_SIFT,33,33,00,00, 10.66, 25.90,142.83,  3.43,  7.55
SHITOMASI_BRISK,33,33,00,00, 10.66, 14.10, 32.22,  3.43,  3.04
SHITOMASI_FREAK,33,33,00,00, 10.66, 11.75, 10.15,  3.43,  2.23
ORB_SURF,33,33,00,05, 10.66, 49.38,363.01,  3.43, 19.27
ORB_BRIEF,33,33,00,01, 10.66, 50.02,369.09,  3.43, 20.34
ORB_ORB,33,33,00,01, 10.66, 36.37,241.04,  3.43, 18.72
ORB_SIFT,33,33,00,07, 10.66, 44.28,315.28,  3.43, 18.14
ORB_BRISK,33,33,00,09, 10.66, 46.83,339.10,  3.43, 15.87
ORB_FREAK,33,33,00,18, 10.66, 24.00,125.02,  3.43, 39.69
SIFT_SURF,33,33,00,00, 10.66,  7.32,-31.37,  3.43,  2.57
SIFT_BRIEF,33,33,00,00, 10.66, 27.22,155.24,  3.43,  7.98
SIFT_SIFT,33,33,00,00, 10.66, 25.31,137.38,  3.43,  8.30
SIFT_BRISK,33,33,00,00, 10.66, 20.04, 87.91,  3.43,  5.15
SIFT_FREAK,33,33,00,00, 10.66, 18.00, 68.78,  3.43,  5.83
AKAZE_SURF,33,33,00,00, 10.66, 14.30, 34.06,  3.43,  2.26
AKAZE_BRIEF,33,33,00,00, 10.66, 17.89, 67.76,  3.43,  3.25
AKAZE_ORB,33,33,00,00, 10.66, 14.28, 33.91,  3.43,  1.86
AKAZE_SIFT,33,33,00,00, 10.66, 17.70, 65.97,  3.43,  4.06
AKAZE_BRISK,33,33,00,00, 10.66, 16.47, 54.49,  3.43,  2.53
AKAZE_FREAK,33,33,00,00, 10.66, 15.05, 41.12,  3.43,  2.12
AKAZE_AKAZE,33,33,00,00, 10.66, 16.73, 56.93,  3.43,  3.02
BRISK_SURF,33,33,00,00, 10.66, 17.18, 61.14,  3.43,  4.90
BRISK_BRIEF,33,33,00,00, 10.66, 21.28, 99.53,  3.43,  7.25
BRISK_ORB,33,33,00,00, 10.66,  9.41,-11.74,  3.43,  2.22
BRISK_SIFT,33,33,00,00, 10.66, 24.09,125.88,  3.43, 14.04
BRISK_BRISK,33,33,00,00, 10.66, 15.44, 44.75,  3.43,  5.00
BRISK_FREAK,33,33,00,00, 10.66, 14.94, 40.06,  3.43,  4.78
FAST_SURF,33,33,00,00, 10.66,  7.79,-26.94,  3.43,  2.51
FAST_BRIEF,33,33,00,00, 10.66, 18.98, 78.02,  3.43,  3.24
FAST_ORB,33,33,00,00, 10.66, 14.39, 34.91,  3.43,  1.93
FAST_SIFT,33,33,00,00, 10.66, 21.09, 97.74,  3.43,  4.16
FAST_BRISK,33,33,00,00, 10.66, 10.20, -4.38,  3.43,  1.92
FAST_FREAK,33,33,00,00, 10.66,  8.56,-19.74,  3.43,  2.01
